Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Mixed Use,Existing Units,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
1 WAVERLY ST,67-59,67,59,1029,424,Utility,PUB UTIL REG, ,0, , , , ,"(42.359337968200002, -71.100968047899897)"
20 WHITNEY AVE,101-145,101,145,2322,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.359341651599898, -71.1125886909999)"
27 WHITNEY AVE,101-141,101,141,3823,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.359302817299898, -71.113024920300006)"
431 PUTNAM AVE,101-158,101,158,7794,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.359195277399898, -71.111754567800006)"
231 PEARL ST,102-119,102,119,3118,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.359267344000003, -71.108827707299895)"
190 BROOKLINE ST,95-2,95,2,3300,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.359240555200003, -71.105767607700002)"
214 ALLSTON ST,102-32,102,32,2933,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.359244537999899, -71.109554387200006)"
128 MAGAZINE ST,102-115,102,115,9700,112,Residential,>8-UNIT-APT, ,16, , ,YES, ,"(42.359156994800003, -71.110711402000007)"
225 CHESTNUT ST,101-171,101,171,10725,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.3591230193, -71.112519802899897)"
28 WHITNEY AVE,101-143,101,143,6135,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.359186510599898, -71.112759096100007)"
248-250 CHESTNUT ST,100-75,100,75,5650,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.359198974900004, -71.113539485499899)"
201 BROOKLINE ST,97-73,97,73,11629,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.359096318299898, -71.1065241356999)"
1 ALLSTON CT,102-28,102,28,2250,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.359216615400001, -71.109849111499898)"
203 ALLSTON ST,102-146,102,146,2894,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.359193212100003, -71.108909415200003)"
212 ALLSTON ST,102-33,102,33,8318,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.359057547699898, -71.109525029799897)"
194 BROOKLINE ST,95-1,95,1,4050,390,Vacant Commercial,COM-DEV-LAND, ,0, , , , ,"(42.3591435320999, -71.105873090900005)"
224 PEARL ST,97-139,97,139,3950,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.359143730200003, -71.108380937500002)"
2 ALLSTON CT,102-31,102,31,2241,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3591183254999, -71.109684842999897)"
3 ALLSTON CT,102-29,102,29,2544,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.359100955300001, -71.1099567638)"
242 CHESTNUT ST,100-74,100,74,4090,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.359065723400001, -71.113393694799896)"
198 ALLSTON ST,102-91,102,91,4615,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.359067279199898, -71.1092026140999)"
460-462 PUTNAM AVE,102-45,102,45,8225,111,Residential,4-8-UNIT-APT, ,5, , , , ,"(42.358994533199898, -71.110321866299898)"
456 PUTNAM AVE,102-116,102,116,4390,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.359044667299898, -71.110515751600005)"
170 PLEASANT ST,100-26,100,26,3434,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3590629634, -71.113644467699899)"
167 SIDNEY ST,95-74,95,74,30378,406,Office/R&D,HIGH-TECH, ,0, , , , ,"(42.3587983323999, -71.104829777000006)"
230 PEARL ST,97-133,97,133,1643,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.359076978399898, -71.108499367999897)"
215 CHESTNUT ST,101-172,101,172,5569,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3589596538, -71.112249568600006)"
169 ALLSTON ST,97-140,97,140,5200,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3589487218999, -71.108234120299898)"
238 CHESTNUT ST,100-51,100,51,6412,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358968547099899, -71.113271964099894)"
4 ALLSTON CT,102-30,102,30,2448,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3590157788, -71.109806233300006)"
117 HAMILTON ST,97-75,97,75,5020,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358949637599899, -71.106814020900003)"
234 PEARL ST,97-134,97,134,2238,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.359008920100003, -71.108575372900006)"
174 PLEASANT ST,100-25,100,25,2457,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358994699199897, -71.113727259499896)"
202 BROOKLINE ST,96-61,96,61,4672,440,Vacant Industrial,IND-DEV-LAND, ,0, , , , ,"(42.358940867500003, -71.106092142400001)"
466 PUTNAM AVE,102-44,102,44,6625,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358895685999897, -71.1101649987)"
211 CHESTNUT ST,101-173,101,173,5569,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358892497299898, -71.112140790400005)"
247-249 PEARL ST,102-145,102,145,11019,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.358872375399898, -71.109332818400006)"
171 ALLSTON ST,97-64,97,64,2513,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358951143900001, -71.108393832999894)"
237 PEARL ST,102-97,102,97,2047,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358961991800001, -71.109044474800001)"
136 HAMILTON ST,97-50,97,50,3564,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358904938400002, -71.107566907000006)"
232 CHESTNUT ST,100-52,100,52,6734,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358868322500001, -71.113107084000006)"
130 MAGAZINE ST,102-4,102,4,11250,960,Charitable/Religious,Religious, ,0, , , ,Religious NonTax,"(42.358826088400001, -71.110926980800002)"
176 PLEASANT ST,100-24,100,24,1940,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358917218499897, -71.113774783400004)"
470 PUTNAM AVE,102-133,102,133,8090,111,Residential,4-8-UNIT-APT, ,7, , ,YES, ,"(42.358820423600001, -71.109877280899894)"
139 MAGAZINE ST,101-175,101,175,4500,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358613940799899, -71.1119733556)"
482 PUTNAM AVE,102-132,102,132,2980,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358617219800003, -71.109921472799897)"
11 FLORENCE ST,100-38,100,38,3938,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358547809900003, -71.1132372135)"
214 CHESTNUT ST,100-49,100,49,6767,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.358519410200003, -71.112534235499893)"
252 PEARL ST,97-25,97,25,4992,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358519241300002, -71.109004946400006)"
80 ERIE ST,96-126,96,126,14542,31,Mixed Use Commercial,MULTIUSE-COM,mixed,1, , , , ,"(42.3583947252, -71.105305641900003)"
47 ERIE ST,67-65,67,65,23057,336,Transportation,PARKING-GAR, ,0, , , , ,"(42.358280172699899, -71.104018202999896)"
9 FLORENCE ST,100-39,100,39,3937,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3584858303999, -71.113137148199897)"
5 NEWTON ST,102-108,102,108,3862,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358501594400003, -71.1107145637)"
170 SIDNEY ST,67-56,67,56,6012,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.358443528599899, -71.1045570645)"
261 PEARL ST,102-121,102,121,4999,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358486361300002, -71.109699499300007)"
240 ALBANY ST,54-7,54,7,27320,121,Assisted Living/Boarding House,BOARDING-HSE, ,0,YES, , ,Educ NonTax,"(42.358269677499898, -71.100746548299895)"
141 MAGAZINE ST,100-76,100,76,6110,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358433363499898, -71.112231188799896)"
2 NEWTON ST,102-104,102,104,3062,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358464662499898, -71.110159300099895)"
7 FLORENCE ST,100-40,100,40,5513,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.3584126449, -71.113014356099896)"
79 HAMILTON ST,96-117,96,117,11279,400,Industrial,MANUFACTURNG, ,0, , , , ,"(42.3583428252999, -71.105804647900001)"
140 MAGAZINE ST,102-114,102,114,7064,112,Residential,>8-UNIT-APT, ,15, , , , ,"(42.358403037199899, -71.1115410037999)"
256 PEARL ST,97-23,97,23,5000,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.358410290099897, -71.109119448499897)"
7 NEWTON ST,102-109,102,109,3864,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358411832000002, -71.110820550900002)"
32 MASSACHUSETTS AVE,58-74,58,74,9399,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.3582939174999, -71.093517670899899)"
146 ALLSTON ST,97-31,97,31,11357,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3582855541, -71.108138733700002)"
57 ERIE ST,67-61,67,61,6137,337,Transportation,PARKING-LOT, ,0, , , , ,"(42.358337634100003, -71.104384816099895)"
4 NEWTON ST,102-103,102,103,3040,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358387594900002, -71.1102403947)"
150 ALLSTON ST,97-141,97,141,2706,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358314821500002, -71.108347109999897)"
145 MAGAZINE ST,100-94,100,94,3046,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3583421469, -71.112324237400003)"
9 NEWTON ST,102-110,102,110,4091,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358330611, -71.110927503200003)"
154 ALLSTON ST,97-143,97,143,1829,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358350770500003, -71.108534836399897)"
260 PEARL ST,97-131,97,131,3200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358322096899897, -71.109213281799896)"
510 PUTNAM AVE,97-40,97,40,10700,111,Residential,4-8-UNIT-APT, ,5, , , , ,"(42.358218988200001, -71.108923722699899)"
273 PEARL ST,102-17,102,17,9847,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,7, , , , ,"(42.358242841600003, -71.109969038499898)"
230 BROOKLINE ST,96-115,96,115,2615,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358302534499899, -71.106761422700004)"
6 NEWTON ST,102-102,102,102,3050,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358309153699899, -71.110324756099899)"
183 CHESTNUT ST,102-113,102,113,4129,111,Residential,4-8-UNIT-APT, ,8, , , , ,"(42.358287871599899, -71.111334186899896)"
147 MAGAZINE ST,100-95,100,95,2934,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358286630400002, -71.112393668300001)"
251 BROOKLINE ST,97-32,97,32,25650,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.3580786936, -71.107777337300007)"
152 ALLSTON ST,97-142,97,142,1003,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358309953800003, -71.108465504799895)"
258 ALBANY ST,54-16,54,16,52201,390,Vacant Commercial,COM-DEV-LAND, ,0, , , , ,"(42.357961735000004, -71.101346293399899)"
262 PEARL ST,97-132,97,132,4221,111,Residential,4-8-UNIT-APT, ,5, , , , ,"(42.3582443475999, -71.109289454500001)"
59 HAMILTON ST,96-118,96,118,11274,130,Vacant Residential,RES-DEV-LAND, ,0, , , , ,"(42.3581509537999, -71.105486190700006)"
179 CHESTNUT ST,102-9,102,9,5040,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358224008900002, -71.111161334800002)"
1 FLORENCE ST,100-91,100,91,4275,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358212085799899, -71.112685723300004)"
232 BROOKLINE ST,96-53,96,53,3780,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3582106685, -71.106834137600003)"
8 NEWTON ST,102-101,102,101,3061,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358230894599899, -71.1104082559999)"
200 SIDNEY ST,66-146,66,146,79601,406,Office/R&D,HIGH-TECH, ,0, , , , ,"(42.357764187199898, -71.104938599500002)"
518-520 PUTNAM AVE,97-135,97,135,12510,112,Residential,>8-UNIT-APT, ,14, , ,YES, ,"(42.358152276200002, -71.108657911099897)"
144 MAGAZINE ST,99-40,99,40,6500,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3581614999, -71.111788492399896)"
149 MAGAZINE ST,100-90,100,90,2880,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358188790900002, -71.112427845200003)"
175 CHESTNUT ST,102-8,102,8,5073,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3581407580999, -71.111013308099899)"
238 BROOKLINE ST,96-52,96,52,3465,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358140146799897, -71.1069899284999)"
10 NEWTON ST,102-100,102,100,3072,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358152840099898, -71.110490858800006)"
72 HAMILTON ST,96-102,96,102,11138,112,Residential,>8-UNIT-APT, ,11, , , , ,"(42.358024867399898, -71.106096597399898)"
10 FLORENCE ST,100-6,100,6,2380,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358142964499898, -71.113334960200007)"
279 PEARL ST,102-18,102,18,5000,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.358082344000003, -71.110130857599898)"
151 MAGAZINE ST,100-45,100,45,2920,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3581099381, -71.112514945300006)"
95 ALLSTON ST,96-96,96,96,4197,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.358045816400001, -71.106698323900005)"
2 WESTACOTT CT,97-36,97,36,2759,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358081884999898, -71.108357795399897)"
12 NEWTON ST,102-99,102,99,3082,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.358074976799898, -71.110574917799894)"
8 FLORENCE ST,100-7,100,7,2227,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358087169900003, -71.113239847000003)"
146-148 MAGAZINE ST,99-39,99,39,7321,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3580180282, -71.111953501800002)"
180 CHESTNUT ST,99-42,99,42,10100,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357957836200001, -71.111534584799898)"
99 ALLSTON ST,96-56,96,56,1828,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3580469159999, -71.106865235599898)"
153 MAGAZINE ST,100-46,100,46,3200,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.358030679499898, -71.112601370799894)"
89 ALLSTON ST,96-95,96,95,3563,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357973270400002, -71.106586648199894)"
305 MEMORIAL DR,58-161,58,161,55174,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.357626239799899, -71.0934333071)"
281 PEARL ST,102-19,102,19,4500,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357977378199898, -71.110243653300003)"
165 CHESTNUT ST,102-93,102,93,3567,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357983369700001, -71.110775503499895)"
6 FLORENCE ST,100-15,100,15,2367,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.358008490300001, -71.113110782099895)"
2 GORDON PL,100-8,100,8,2925,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357994562000002, -71.113440612999895)"
513 PUTNAM AVE,97-7,97,7,8956,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.3578821754, -71.109335885099895)"
524 PUTNAM AVE,97-136,97,136,5984,112,Residential,>8-UNIT-APT, ,14, , ,YES, ,"(42.357913489200001, -71.108583064000001)"
PUTNAM AVE NS,97-35,97,35,13650,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.357823052199898, -71.108235994699896)"
85 ALLSTON ST,96-94,96,94,3529,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357910152899898, -71.106480713400003)"
60 HAMILTON ST,96-98,96,98,9321,340,Office,GEN-OFFICE, ,0, , , , ,"(42.357839743299898, -71.105808080399896)"
244 BROOKLINE ST,96-75,96,75,5147,112,Residential,>8-UNIT-APT, ,9, , ,YES, ,"(42.357898120900003, -71.107218355499896)"
4 FLORENCE ST,100-16,100,16,2450,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357947602099898, -71.113012459499899)"
159 CHESTNUT ST,102-94,102,94,3683,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357911867299897, -71.110650234999895)"
270 ALBANY ST,54-19,54,19,32350,406,Office/R&D,HIGH-TECH, ,0, , , , ,"(42.357664038499898, -71.102027586899894)"
287 PEARL ST,102-20,102,20,4000,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3578830505, -71.110342779999897)"
152 MAGAZINE ST,99-37,99,37,5225,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3578788348999, -71.112111096000007)"
79 ALLSTON ST,96-93,96,93,3495,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357848379700002, -71.106375772700005)"
155 MAGAZINE ST,100-17,100,17,4500,101,Residential,SNGL-FAM-RES, ,1, , , ,Religious NonTax,"(42.357860628300003, -71.1128073884)"
4 GORDON PL,100-9,100,9,1755,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357908204799898, -71.113535918099899)"
130 WAVERLY ST,66-147,66,147,108792,406,Office/R&D,HIGH-TECH, ,0, , , , ,"(42.357062148700003, -71.104799235399895)"
172 CHESTNUT ST,99-43,99,43,4500,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357835373999897, -71.111317972600006)"
35 TUFTS ST,99-54,99,54,4744,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357803176399898, -71.1118526505999)"
1 GORDON PL,100-14,100,14,2398,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3578567859999, -71.113175716200004)"
98 ALLSTON ST,96-77,96,77,1493,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357833467100001, -71.107081448499898)"
73 ALLSTON ST,96-92,96,92,3461,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357786205499899, -71.106269126399894)"
64 HAMILTON ST,96-130,96,130,757,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357856441800003, -71.1056043391999)"
515 PUTNAM AVE,97-121,97,121,3819,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.357796869700003, -71.1090812051999)"
289 PEARL ST,102-21,102,21,6586,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.357769981700002, -71.110461598200004)"
6 GORDON PL,100-10,100,10,1859,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3578302905999, -71.113598242699894)"
261 BROOKLINE ST,97-112,97,112,3678,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357785651699899, -71.107873933600004)"
168 CHESTNUT ST,99-44,99,44,4500,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3577599097, -71.111184096700001)"
92 ALLSTON ST,96-99,96,99,3320,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3577718401, -71.106993752899896)"
254 BROOKLINE ST,96-26,96,26,3320,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357761213300002, -71.107315084199897)"
159 MAGAZINE ST,100-18,100,18,3600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357765617399899, -71.112909810900007)"
280 PEARL ST,97-4,97,4,5600,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357727407500001, -71.109815491000006)"
314 MEMORIAL DR,58-95,58,95,70474,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.357325997700002, -71.094413726300004)"
67 ALLSTON ST,96-90,96,90,3498,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357722103999897, -71.106159416500006)"
29 TUFTS ST,99-53,99,53,4744,111,Residential,4-8-UNIT-APT, ,4, , ,YES, ,"(42.357718872100001, -71.111703358900002)"
3 GORDON PL,100-13,100,13,2398,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357772947500003, -71.113267912799898)"
88 ALLSTON ST,96-100,96,100,3322,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3576969476999, -71.106866343099895)"
164-166 CHESTNUT ST,99-55,99,55,5000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357679748700001, -71.111044009099899)"
263 BROOKLINE ST,97-111,97,111,1552,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.357713477300003, -71.107950199100003)"
256 BROOKLINE ST,96-25,96,25,3319,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3576793513, -71.107401510700001)"
63 ALLSTON ST,96-89,96,89,3554,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357655614899898, -71.106047163100001)"
154-158 MAGAZINE ST,99-77,99,77,15005,112,Residential,>8-UNIT-APT, ,22, , ,YES, ,"(42.357582739999899, -71.112312160100004)"
17 ACORN ST,97-127,97,127,3111,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3576853653, -71.109476983199897)"
163 MAGAZINE ST,100-19,100,19,4500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357668179500003, -71.113018269400001)"
25 TUFTS ST,99-74,99,74,3669,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357645109499899, -71.111571282300005)"
9 ACORN ST,97-120,97,120,1967,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357688258800003, -71.1091933189999)"
5 GORDON PL,100-12,100,12,2398,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357688527599898, -71.113360604700006)"
286 PEARL ST,97-99,97,99,1512,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357689738700003, -71.1099869248999)"
267 BROOKLINE ST,97-34,97,34,6800,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,5, , , , ,"(42.357609221099899, -71.108064082599896)"
531 PUTNAM AVE,97-91,97,91,2900,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.357647261099899, -71.108793833999897)"
160 CHESTNUT ST,99-56,99,56,5092,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.357594108599898, -71.110897127599898)"
204 SIDNEY ST,66-96,66,96,6509,13,Mixed Use Residential,MULTIUSE-RES,mixed,1, , , , ,"(42.357569879899899, -71.105458884900003)"
9 PETERS ST,96-31,96,31,3320,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357612570100002, -71.107058338800002)"
59 ALLSTON ST,96-88,96,88,4011,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3575863424999, -71.105926988899895)"
21-23 TUFTS ST,99-73,99,73,3668,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357579501399897, -71.111455911700006)"
7 GORDON PL,100-11,100,11,2783,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357590977999898, -71.113451987100007)"
80 ALLSTON ST,96-70,96,70,2044,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357584262400003, -71.106610765200003)"
167 MAGAZINE ST,100-20,100,20,3600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357571611600001, -71.113125000899899)"
533 PUTNAM AVE,97-18,97,18,4985,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3575210821, -71.108698750100004)"
133-135 CHESTNUT ST,97-13,97,13,5600,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357517845899899, -71.109906441999897)"
21 ACORN ST,97-10,97,10,4495,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357525915099899, -71.109499566899899)"
295 PEARL ST,99-46,99,46,4296,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.357539486599897, -71.110657471400003)"
290 PEARL ST,97-1,97,1,2806,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3575578437, -71.110129245400003)"
11 PETERS ST,96-32,96,32,3320,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357531550300003, -71.107143957600002)"
17 TUFTS ST,99-72,99,72,3669,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3575136531, -71.111341355799894)"
6-8 ACORN ST,97-92,97,92,2099,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357545090000002, -71.108913361999896)"
262 BROOKLINE ST,96-121,96,121,7660,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.357453709700003, -71.107676798200004)"
76 ALLSTON ST,96-71,96,71,1893,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357515153999898, -71.106528918799896)"
171 MAGAZINE ST,100-21,100,21,4230,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3574775320999, -71.113227420399895)"
539 PUTNAM AVE,97-82,97,82,4000,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3574447389, -71.108565949799896)"
166 MAGAZINE ST,99-22,99,22,5987,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357446549300001, -71.112524998599895)"
11 TUFTS ST,99-70,99,70,5664,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.3574326488, -71.111197465000004)"
125-127 CHESTNUT ST,97-12,97,12,5600,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3574245289999, -71.109741084099895)"
72 ALLSTON ST,96-72,96,72,2279,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.357455966000003, -71.106461134699899)"
49 ALLSTON ST,66-43,66,43,3500,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357437946600001, -71.105702914199895)"
17 PETERS ST,96-114,96,114,3333,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357449731000003, -71.107229752099897)"
312 MEMORIAL DR,58-109,58,109,6541,9421,Education Residential,Private College Res Units, ,2, , , ,Educ NonTax,"(42.357321532599897, -71.093845859200002)"
6-8 PETERS ST,96-69,96,69,1248,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3574854612, -71.106680851700006)"
32 TUFTS ST,99-24,99,24,5000,111,Residential,4-8-UNIT-APT, ,5, , , , ,"(42.357411368199898, -71.112006729900003)"
10 ACORN ST,97-16,97,16,5000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.357400863400002, -71.108941864000002)"
303 PEARL ST,99-47,99,47,3859,111,Residential,4-8-UNIT-APT, ,5, , ,YES, ,"(42.357426971800002, -71.110774620900003)"
68 ALLSTON ST,96-73,96,73,2008,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357410270800003, -71.1063827669999)"
543 PUTNAM AVE,97-83,97,83,4500,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357370430700001, -71.108441254799899)"
10 PETERS ST,96-79,96,79,4616,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.357369364100002, -71.106704489699894)"
43 ALLSTON ST,66-53,66,53,3500,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357364343699899, -71.105570466700001)"
177 MAGAZINE ST,100-22,100,22,3129,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.357371005200001, -71.113307432200003)"
19 PETERS ST,96-113,96,113,3336,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357367771200003, -71.107317088599899)"
64 ALLSTON ST,96-74,96,74,2340,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.357364715000003, -71.106305380099897)"
