ID,PrimaryStreet,LocationDescription,Location,Source,1972,1981,1987,1989,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,AMPeak1972,AMPeak1981,AMPeak1987,AMPeak1989,AMPeak1994,AMPeak1995,AMPeak1996,AMPeak1997,AMPeak1998,AMPeak1999,AMPeak2000,AMPeak2001,AMPeak2002,AMPeak2003,AMPeak2004,AMPeak2005,AMPeak2006,AMPeak2007,AMPeak2008,AMPeak2009,AMPeak2010,AMPeak2011,AMPeak2012,AMPeak2013,AMPeak2014,PMPeak1972,PMPeak1981,PMPeak1987,PMPeak1989,PMPeak1994,PMPeak1995,PMPeak1996,PMPeak1997,PMPeak1998,PMPeak1999,PMPeak2000,PMPeak2001,PMPeak2002,PMPeak2003,PMPeak2004,PMPeak2005,PMPeak2006,PMPeak2007,PMPeak2008,PMPeak2009,PMPeak2010,PMPeak2011,PMPeak2012,PMPeak2013,PMPeak2014
326,Richdale Avenue,Between Upland Rd. and Walden St.,"(42.3878809660999, -71.123431437500003)","15-33 Richdale Avenue TIS, July 2013. (counts done May 22&23, 2013).",,,,,,,,,,0,,,,,,,0,,0,,,0,,1159,,,,,,,,,,,0,,,,,,,,,0,,,0,,77,,,,,,,,,,,0,,,,,,,,,0,,,0,,108,
327,New Street,South of Denehy Park,"(42.388162999599899, -71.140642999999898)","75 New Street, TIS, August 5, 2013. New Street counts done Sept. 2012.",,,,,,,,,,0,,,,,,,0,,0,,,0,5123,,,,,,,,,,,,0,,,,,,,,,0,,,0,291,,,,,,,,,,,,0,,,,,,,,,0,,,0,566,,
328,Bay State Road,East of New Street,"(42.387163747999899, -71.140646727800004)","75 New Street TIS, August 2013. Counts done May 2012.",,,,,,,,,,0,,,,,,,0,,0,,,0,5336,,,,,,,,,,,,0,,,,,,,,,0,,,0,397,,,,,,,,,,,,0,,,,,,,,,0,,,0,572,,
329,Thorndike Street,West of First Street,"(42.369340797500001, -71.077708095399899)","Courthouse Redevelopment TIS, Oct. 2013. (counts, May 2013)",,,,,,,,,,0,,,,,,,0,,0,,,0,,2897,,,,,,,,,,,0,,,,,,,,,0,,,0,,140,,,,,,,,,,,0,,,,,,,,,0,,,0,,265,
330,Spring Street,West of First Street,"(42.368636735800003, -71.077863453000006)","Courthouse Redevelopment TIS, Oct. 2013. (counts, May 2013)",,,,,,,,,,0,,,,,,,0,,0,,,0,,2114,,,,,,,,,,,0,,,,,,,,,0,,,0,,335,,,,,,,,,,,0,,,,,,,,,0,,,0,,102,
331,Second Street,South of Thorndike Street,"(42.369227019500002, -71.078967533799897)","Courthouse TIS, Oct 2013 (counts May 2013).",,,,,,,,,,0,,,,,,,0,,0,,,0,,2105,,,,,,,,,,,0,,,,,,,,,0,,,0,,171,,,,,,,,,,,0,,,,,,,,,0,,,0,,198,
335,Memorial Drive,East of JFK Street,"(42.369713999699897, -71.121709999999894)","Functional Design Report for Rehab of Anderson Bridge, MassDot, by FST, August, 2010.",,,,,,,,,,0,,,,,,,0,,0,,20800,0,,,,,,,,,,,,,0,,,,,,,,,0,,1670,0,,,,,,,,,,,,,0,,,,,,,,,0,,1520,0,,,
68,Midblock Connector,Between Main St. and Broadway,"(42.363219750500001, -71.088004189200007)","Traffic Impact Assessment/IPOP Analysis, Dec. 1999.",,,,,,,,,,6566,,,,,,,0,,0,,,0,,,,,,,,,,,,,505,,,,,,,,,0,,,0,,,,,,,,,,,,,534,,,,,,,,,0,,,0,,,
107,Ames Street,South of Amherst Street,"(42.359714473899899, -71.087479517999896)","MIT Media Lab, TIS, August 2000.",,,,,,,,,,0,2150,,,,,,0,,0,,,0,,,,,,,,,,,,,0,135,,,,,,,,0,,,0,,,,,,,,,,,,,0,215,,,,,,,,0,,,0,,,
114,Mt. Auburn Street,East of Hawthorne Street,"(42.3744201242, -71.126228408800003)","Mount Auburn Hospital Expansion TIS, May 31, 2005. ATR counts are from Nov. 17, 2004.",,,,,,,,,,0,,,,,10810,,0,,0,,,0,,,,,,,,,,,,,0,,,,,875,,,,0,,,0,,,,,,,,,,,,,0,,,,,825,,,,0,,,0,,,
115,Binney Street,West of One Kendall garage entrance driveway,"(42.3675452644, -71.090343276499894)","Proposed Residential Development, TIS, One Kendall, June 2004.",,,,,,,,,,0,,,,,3500,,0,,0,,,0,,,,,,,,,,,,,0,,,,,399,,,,0,,,0,,,,,,,,,,,,,0,,,,,389,,,,0,,,0,,,
128,Binney Street,East of One Kendall garage exit driveway,"(42.366877286799898, -71.088844215099897)","Proposed R&D Building, One Kendall,TIS Nov. 21, 2002",,,,,,,,,,0,,,4700,,,,0,,0,,,0,,,,,,,,,,,,,0,,,345,,,,,,0,,,0,,,,,,,,,,,,,0,,,503,,,,,,0,,,0,,,
134,Main Street,Between Vassar and Ames Street,"(42.362643705099899, -71.088997546800002)","Stata Research Center TIS, April 26, 1999.",,,,,,,,,,8684,,,,,,,0,,0,,,0,,,,,,,,,,,,,673,,,,,,,,,0,,,0,,,,,,,,,,,,,683,,,,,,,,,0,,,0,,,
136,Ames Street,South of Main Street,"(42.361965730800001, -71.0882859260999)","Stata Research Center TIS, April 26, 1999.",,,,,,,,,,4705,,,,,,,0,,0,,,0,,,,,,,,,,,,,392,,,,,,,,,0,,,0,,,,,,,,,,,,,436,,,,,,,,,0,,,0,,,
146,Rindge Ave,East of Alewife Brook Parkway,"(42.393955801499899, -71.139298354700003)","30 Cambridge Park Drive, TIS 1999; 2013 Citywide Counts(Used Wed &Thu Average)",,,,,,,,,,12050,,,,,,,0,,0,,,0,,9768,,,,,,,,,,,773,,,,,,,,,0,,,0,,594,,,,,,,,,,,890,,,,,,,,,0,,,0,,716,
187,Massachusetts Avenue,North of Memorial Drive,"(42.357735875099898, -71.092898183299894)",Cordon Counts,,,,,,,,,29551,0,,,,,,,0,,0,,,0,,,,,,,,,,,,1879,0,,,,,,,,,0,,,0,,,,,,,,,,,,2166,0,,,,,,,,,0,,,0,,,
193,O'Brien Highway,West of Land Blvd.,"(42.369601999899899, -71.073838000099897)",Cordon Counts,,,,,,,,,37032,0,,,,,,,0,,0,,,0,,,,,,,,,,,,2757,0,,,,,,,,,0,,,0,,,,,,,,,,,,2398,0,,,,,,,,,0,,,0,,,
198,Rindge Avenue,East of Alewife Brook Pkwy,"(42.393933642699899, -71.139044299199895)",Cordon Counts; 2013 TP&T Citywide Counts;,9800,17633,9117,,,,,,11546,0,,,,,,,0,,0,,,0,,9164,,,,,,,,,,826,0,,,,,,,,,0,,,0,,927,,,,,,,,,,955,0,,,,,,,,,0,,,0,,1306,
200,Route 2,West of Alewife Brook Pkwy,"(42.3980780264, -71.143035794900001)",Cordon Counts,46475,48921,55675,,,,,,61724,0,,,,,,,0,,0,,,0,,,,,,,,,,,,4343,0,,,,,,,,,0,,,0,,,,,,,,,,,,4514,0,,,,,,,,,0,,,0,,,
212,Western Avenue,East of Memorial Drive,"(42.364371387699897, -71.115279938100002)",Cordon Counts,11798,12353,17439,,,,,,16032,0,,,,,,,0,,0,,,0,,,,,,,,,,,,983,0,,,,,,,,,0,,,0,,,,,,,,,,,,1290,0,,,,,,,,,0,,,0,,,
217,Route 2,West of Alewife Brook Parkway,"(42.398015438400002, -71.143184744099898)","Cambridge Discovery Park TIS, September, 2004.",,,,,,,,,,0,,,,,62600,,0,,0,,,0,,,,,,,,,,,,,0,,,,,4203,,,,0,,,0,,,,,,,,,,,,,0,,,,,4900,,,,0,,,0,,,
224,Main Street,Between Vassar Street and Ames Street,"(42.362634445700003, -71.088804161799899)","MIT Cancer Research Facility, 500 Main St, Project Review Special Permit Application, Oct. 29, 2007.",,,,,,,,,,0,,,,,,,0,8200,0,,,0,,,,,,,,,,,,,0,,,,,,,,465,0,,,0,,,,,,,,,,,,,0,,,,,,,,477,0,,,0,,,
225,Ames Street,South of Main Street,"(42.3618510911, -71.088300013600005)","MIT Cancer Research Facility, 500 Main St, Project Review Special Permit Application, Oct. 29, 2007.",,,,,,,,,,0,,,,,,,0,5400,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
227,Charlestown Avenue,North of O'Brien Hwy.,"(42.369598000099899, -71.072785000400003)","North Point TIS, Oct. 29, 2002.",,,,,,,,,,0,,,35500,,,,0,,0,,,0,,,,,,,,,,,,,0,,,2500,,,,,,0,,,0,,,,,,,,,,,,,0,,,2940,,,,,,0,,,0,,,
231,Cambridge Street,West of First Street,"(42.3706685951, -71.077131053299894)","North Point TIS, Oct. 29, 2002. 2013 TP&T Citywide Counts(Used Wed &Thu Average)",,,,,,,,,,0,,,9600,,,,0,,0,,,0,,7731,,,,,,,,,,,0,,,613,,,,,,0,,,0,,461,,,,,,,,,,,0,,,574,,,,,,0,,,0,,476,
235,Land Boulevard,At O'Brien Highway,"(42.369204999600001, -71.0732580001999)", ,,,,,,,,,,0,,,,,,,0,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
238,Beech Street,East of Massachusetts Avenue,"(42.389765643799898, -71.121325183899899)","St. James Renovation Project TIS, 8/19/09.",,,,,,,,,,0,,,,,,,0,,0,8472,,0,,,,,,,,,,,,,0,,,,,,,,,0,569,,0,,,,,,,,,,,,,0,,,,,,,,,0,634,,0,,,
241,Third Street,100' North of Charles St.,"(42.367947432400001, -71.080841277199895)","Cambridge Research Park, 2009-2014 Traffic Monitoring Report, Transaction Associates. (Average of two day counts).",,,,,,,,,,0,,,,,,,0,,0,8009,8625,8859,8740,9162,7915,,,,,,,,,,0,,,,,,,,,0,618,705,682,652,664,602,,,,,,,,,,0,,,,,,,,,0,698,785,814,785,752,731
246,Binney Street,200' West of Fulkerson,"(42.366858748399899, -71.088809546500002)","Amgen Center, One Kendall Sq TIS, March 1999. Cambridge Research Park, 2009-2014 Traffic Monitoring Report, Transaction Associates. (Average of two day counts in May)",,,,,,,,,,4690,,,,,,,0,,0,3475,3582,3654,3802,3974,3929,,,,,,,,,,400,,,,,,,,,0,309,287,282,293,334,330,,,,,,,,,,570,,,,,,,,,0,389,354,336,372,393,387
247,Binney Street,Between  2nd and 3rd St.,"(42.365629154200001, -71.081297858499894)","Binney Street Project TIS, Nov. 12, 2009 (Alexandria Real Estate Equities, Inc.).",,,,,,,,,,0,,,,,,,0,,0,12545,,0,,,,,,,,,,,,,0,,,,,,,,,0,975,,0,,,,,,,,,,,,,0,,,,,,,,,0,1127,,0,,,
262,Broadway,West of Midblock Connector.,"(42.364117784199898, -71.087738957499894)","Kendall Sq. Urban Renewal, Cambridge Redevelopment Authority, 11/25/09.",,,,36700,17700,,,,,0,,,,,,,0,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
263,Broadway,East of Midblock Connector.,"(42.363506891100002, -71.086267917900003)","Kendall Sq. Urban Renewal, Cambridge Redevelopment Authority.",,,,,18200,18700,17850,18200,21350,20400,20150,21500,,18200,19250,19300,18450,19700,18450,16850,19200,20100,17300,19900,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
266,Vassar Street,West or South of Main Street,"(42.3623479002, -71.090438378900004)","Kendall Sq. Urban Renewal, Cambridge Redevelopment Authority, 11/25/09.",,,,,10300,10600,9950,10000,10100,10550,11300,10400,,,11150,14450,11500,9700,9400,9300,11450,11700,11600,12750,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
274,Route 2,West of Alewife Brook Parkway,"(42.398105618499898, -71.143125726600005)","Residences at Route 2 TIS, Jan 08 and Dec. 10.",,,,,,,,,,0,,,,,,,0,,57940,,53367,0,,,,,,,,,,,,,0,,,,,,,,,4030,,3021,0,,,,,,,,,,,,,0,,,,,,,,,4440,,4088,0,,,
312,Allston Street,Between Pearl Street and Brookline Street,"(42.358512678499899, -71.107968141599898)","240 Sidney Street TIS, Jan 3, 2013.  Counts done Sept. 2012.",,,,,,,,,,0,,,,,,,0,,0,,,0,569,,,,,,,,,,,,0,,,,,,,,,0,,,0,61,,,,,,,,,,,,0,,,,,,,,,0,,,0,34,,
314,Brookline Street,South of Putnam Avenue,"(42.357249270600001, -71.108131592899895)","240 Sidney Street TIS, Jan 3, 2013.  Counts done Sept. 2012.",,,,,,,,,,0,,,,,,,0,,0,,,0,5151,,,,,,,,,,,,0,,,,,,,,,0,,,0,372,,,,,,,,,,,,0,,,,,,,,,0,,,0,502,,
319,Cambridgepark Drive,West of Alewife Station Access Road,"(42.394639878699898, -71.142832928000004)","130 Cambridgepark Drive TIS, Feb. 15, 2013. ATR counts done Dec. 5, 2012.",,,,,,,,,,0,,,,,,,0,,0,,,0,4327,,,,,,,,,,,,0,,,,,,,,,0,,,0,496,,,,,,,,,,,,0,,,,,,,,,0,,,0,379,,
332,First Street,North of Charles Street,"(42.367454842000001, -71.077666224699897)","Courthouse TIS, Oct 2013 (counts May 2013).",,,,,,,,,,0,,,,,,,0,,0,,,0,,8427,,,,,,,,,,,0,,,,,,,,,0,,,0,,548,,,,,,,,,,,0,,,,,,,,,0,,,0,,610,
333,Second Street,North of Charles Street,"(42.367617982399899, -71.079362815799897)","Courthouse TIS, Oct 2013 (counts May 2013).",,,,,,,,,,0,,,,,,,0,,0,,,0,,1874,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,
334,Third Street,North of Charles Street,"(42.3680106756999, -71.080780676299895)","Courthouse TIS, Oct 2013 (counts May 2013).",,,,,,,,,,0,,,,,,,0,,0,,,0,,9164,,,,,,,,,,,0,,,,,,,,,0,,,0,,752,,,,,,,,,,,0,,,,,,,,,0,,,0,,818,
106,Landsdowne Street,North of Pilgrim Street,"(42.360350329500001, -71.100721422899895)","MIT Pacific Street Dormitory, TIS, May 2000. ADT counts are Feb. 1999. 300 Mass. Avenue TIS, May 2013 (counts done in April 2013).",,,,,,,,,,1730,,,,,,,0,,0,,,0,,2868,,,,,,,,,,,135,,,,,,,,,0,,,0,,264,,,,,,,,,,,180,,,,,,,,,0,,,0,,292,
61,Frontage Road,West of Acorn Park Drive,"(42.400762427300002, -71.154363545099898)","Residences at Route 2, Jan. 2009, TIS for 2008 counts and Dec. 2010 TIS for 2010 counts.",,,,,,,,,,0,,,,,,,0,,7440,,8498,0,,,,,,,,,,,,,0,,,,,,,,,1320,,1600,0,,,,,,,,,,,,,0,,,,,,,,,740,,720,0,,,
80,Portland Street,South of Tech Square Driveway No. 3,"(42.364008681800001, -71.093092933600005)","Draper Laboratory, TIS, Aug. 2, 2002.",,,,,,,,,,0,,,8300,,,,0,,0,,,0,,,,,,,,,,,,,0,,,687,,,,,,0,,,0,,,,,,,,,,,,,0,,,690,,,,,,0,,,0,,,
81,Main Street,East of Tech Square Driveway No. 3.,"(42.362771000199899, -71.091022999499899)","Draper Laboratory, TIS, Aug. 2, 2002.",,,,,,,,,,0,,,11500,,,,0,,0,,,0,,,,,,,,,,,,,0,,,926,,,,,,0,,,0,,,,,,,,,,,,,0,,,866,,,,,,0,,,0,,,
